product,leverage,buffer,hold_days,label,n_trades,ko_rate,win_rate,avg_pnl,total_pnl,roi
turbo,200,0.5,0,Same-day,4107,53.153153153153156,36.54735816897979,14.04123175786889,57667.338829567525,2.8082463515737777
turbo,200,0.5,1,+1 night,4111,71.7343711992216,24.49525662855753,64.65750653449733,265807.0093633185,12.931501306899465
turbo,200,0.5,2,+2 nights,4111,77.71831671126247,19.630260277304792,67.6324935341316,278037.180918815,13.52649870682632
turbo,200,0.5,3,+3 nights,4111,81.02651423011433,16.44368766723425,52.135895656886326,214330.66704545968,10.427179131377265
turbo,100,1.0,0,Same-day,4107,22.93644996347699,45.99464329194059,8.715837686478537,35795.94537836735,1.7431675372957076
turbo,100,1.0,1,+1 night,4111,44.8795913403065,36.04962296278278,36.61483045289955,150523.56799187005,7.322966090579911
turbo,100,1.0,2,+2 nights,4111,53.733884699586476,30.503527122354658,31.70789157523572,130351.14226579404,6.341578315047144
turbo,100,1.0,3,+3 nights,4111,59.182680612989536,26.587205059596204,16.396485103907892,67405.95026216535,3.279297020781579
turbo,50,2.0,0,Same-day,4107,3.9444850255661064,48.599951302654006,2.986655751427392,12266.1951711123,0.5973311502854785
turbo,50,2.0,1,+1 night,4111,17.611286791534905,41.765993675504745,8.456819665790286,34765.98564606387,1.6913639331580572
turbo,50,2.0,2,+2 nights,4111,26.07638044271467,38.652396010702994,5.830683167483003,23969.938501522625,1.1661366334966006
turbo,50,2.0,3,+3 nights,4111,31.792751155436633,35.73339819995135,-4.140992363421132,-17023.619606024273,-0.8281984726842264
bull_bear,3,0.0,0,Same-day,4106,0.0,48.855333658061376,0.16619784106084437,682.408335395827,0.03323956821216887
bull_bear,3,0.0,1,+1 night,4111,0.0,42.3984432011676,0.0005083861562612769,2.0899754883901096,0.0001016772312522554
bull_bear,3,0.0,2,+2 nights,4111,0.0,41.23084407686694,-0.8258748975476687,-3395.171703818466,-0.16517497950953372
bull_bear,3,0.0,3,+3 nights,4111,0.0,39.28484553636585,-2.3275275341609296,-9568.465692935582,-0.46550550683218594
bull_bear,3,0.0,5,+5 nights,4111,0.0,36.77937241547069,-4.2170816409104175,-17336.422625782725,-0.8434163281820833
bull_bear,5,0.0,0,Same-day,4106,0.0,48.855333658061376,0.27699640176807483,1137.3472256597151,0.055399280353614966
bull_bear,5,0.0,1,+1 night,4111,0.0,42.447093164680126,0.21757335306079995,894.4440544329486,0.04351467061215999
bull_bear,5,0.0,2,+2 nights,4111,0.0,40.86596935052299,-1.090497351870145,-4483.034613538166,-0.218099470374029
bull_bear,5,0.0,3,+3 nights,4111,0.0,38.79834590124057,-3.62839452184406,-14916.32987930093,-0.725678904368812
bull_bear,5,0.0,5,+5 nights,4111,0.0,36.21989783507662,-6.577044870130341,-27038.231461105832,-1.3154089740260682
bull_bear,10,0.0,0,Same-day,4106,0.0,48.855333658061376,0.5539928035361484,2274.6944513194253,0.11079856070722968
bull_bear,10,0.0,1,+1 night,4111,0.0,42.20384334711749,0.9341673058374209,3840.3617942976375,0.1868334611674842
bull_bear,10,0.0,2,+2 nights,4111,0.0,40.03891997081002,-1.6243206508808732,-6677.58219577127,-0.3248641301761746
bull_bear,10,0.0,3,+3 nights,4111,0.0,37.338846995864756,-6.985596924871232,-28717.788958145637,-1.3971193849742465
bull_bear,10,0.0,5,+5 nights,4111,0.0,34.32254925808806,-12.555129333053742,-51614.136688183935,-2.5110258666107486
bull_bear,15,0.0,0,Same-day,4106,0.0,48.855333658061376,0.8309892053042235,3412.041676979142,0.1661978410608447
bull_bear,15,0.0,1,+1 night,4111,0.0,41.717343711992214,2.4159234513271106,9931.861308405752,0.4831846902654221
bull_bear,15,0.0,2,+2 nights,4111,0.0,39.041595718803215,-1.2510470192836498,-5143.054296275084,-0.25020940385672996
bull_bear,15,0.0,3,+3 nights,4111,0.0,35.78204816346388,-9.399616668087463,-38641.82412250756,-1.8799233336174928
bull_bear,15,0.0,5,+5 nights,4111,0.0,31.549501337874,-17.292463580111868,-71089.31777783988,-3.458492716022373
