name,n_signals,signal_wr,avg_bo_dist,t1_n,t1_ko,t1_wr,t1_roi,tr_n,tr_ko,tr_wr,tr_roi,t2_n,t2_ko,t2_wr,t2_roi
Sector ETF,646,64.55108359133128,0.21616985301136524,645,6.2015503875969,49.76744186046512,2.812241345584102,646,18.730650154798763,43.188854489164086,6.427257332911792,645,0.0,50.07751937984496,1.765188126472276
Stock,292,66.43835616438356,0.4683656112091622,292,29.45205479452055,49.65753424657534,6.6572022643641375,292,48.63013698630137,34.58904109589041,-9.790308203630055,292,7.534246575342466,55.13698630136986,3.225873514918515
Commodity,239,61.50627615062761,0.4236835743294674,239,30.543933054393307,38.07531380753138,8.372487017665502,239,43.93305439330544,28.451882845188287,42.324380516553695,239,9.205020920502092,39.74895397489539,-0.1293269831710916
XLK holding,284,67.6056338028169,0.5273778984986852,284,34.154929577464785,45.07042253521127,4.236304797709887,284,52.112676056338024,33.45070422535211,5.319725620869454,284,8.80281690140845,51.76056338028169,3.342274478678882
XLF holding,234,64.1025641025641,0.3023196060410882,234,13.247863247863249,48.717948717948715,4.012239662770656,234,32.05128205128205,37.60683760683761,-8.966388869378136,234,0.8547008547008548,49.14529914529914,1.7110132117257797
XLE holding,287,63.76306620209059,0.36803950602904434,287,27.177700348432055,46.34146341463415,1.03526365420314,287,42.857142857142854,36.23693379790941,24.703165888898866,287,2.0905923344947737,49.825783972125436,2.40298903180189
XLV holding,284,63.38028169014085,0.374615691144715,284,25.704225352112676,47.183098591549296,-1.0391294059086664,284,40.845070422535215,37.67605633802817,16.184699572473434,284,3.5211267605633805,49.29577464788733,-1.4563113205992009
XLB holding,292,61.3013698630137,0.3893361347849969,292,36.3013698630137,43.15068493150685,-7.3024758318993275,292,56.16438356164384,29.794520547945208,-0.04531020395146299,292,7.876712328767123,48.28767123287671,-3.77580736205629
XLI holding,284,59.154929577464785,0.4720321958469839,284,36.61971830985916,41.901408450704224,0.6410713164590087,284,53.16901408450704,33.098591549295776,13.389810164295469,284,9.859154929577464,46.12676056338028,-2.9342556601301886
XLY holding,229,66.8122270742358,0.31182732421163484,229,20.087336244541483,48.47161572052402,6.576395421226784,229,39.30131004366812,37.99126637554585,-8.087554843715477,229,2.6200873362445414,50.65502183406113,3.441688530646473
XLP holding,291,63.57388316151202,0.3012012032165607,287,16.72473867595819,48.43205574912892,3.2348217937412356,291,33.33333333333333,37.80068728522337,15.55474808352276,287,1.0452961672473868,49.12891986062718,0.328140786957123
XLU holding,291,61.16838487972509,0.35172639457683114,291,21.305841924398624,42.2680412371134,-3.5581224523170465,291,40.20618556701031,29.553264604810998,-13.601604711826282,291,4.4673539518900345,44.329896907216494,-1.2664903174363096
XLRE holding,287,58.536585365853654,0.3004414580875617,287,20.209059233449477,44.599303135888505,0.3924379553613554,287,34.84320557491289,33.44947735191638,0.6527587705047582,287,0.34843205574912894,45.64459930313589,0.06909881172091144
XLC holding,171,67.2514619883041,0.4068235413997826,171,26.31578947368421,45.02923976608187,-2.2035485756103794,171,39.1812865497076,35.08771929824561,-5.517175745735816,171,1.1695906432748537,49.122807017543856,1.3773389327621435
