time_bucket,filter,direction,n_signals,win_rate_pct,avg_breakout_pct,turbo_1pct_ko,turbo_1pct_wr,turbo_1pct_roi,turbo_2pct_ko,turbo_2pct_wr,turbo_2pct_roi,runner_ko,runner_wr,runner_roi
09:35-10:00,all,all,2049,64.0,0.46,28.2,44.2,0.6,5.2,47.1,-0.5,41.7,34.7,2.5
10:00-10:30,all,all,1001,64.9,0.31,21.0,47.5,5.2,3.2,50.6,3.7,36.8,37.2,11.4
10:30-11:00,all,all,385,62.3,0.25,19.7,48.1,2.9,3.9,50.6,1.3,40.0,35.3,15.9
11:00-12:00,all,all,371,57.7,0.19,14.0,46.1,0.5,1.1,47.4,0.2,35.6,35.6,2.8
12:00-14:00,all,all,193,61.1,0.18,15.5,50.3,-5.8,2.1,50.8,-4.6,37.8,36.3,2.5
14:00-16:00,all,all,112,67.0,0.15,1.9,51.4,3.4,0.9,51.4,1.2,31.2,35.7,0.3
09:35-10:00,quality>=2,all,558,70.4,0.64,31.7,46.4,5.9,9.1,51.1,2.7,48.6,35.3,20.7
10:00-10:30,quality>=2,all,199,69.8,0.33,23.1,47.7,-2.1,3.5,53.8,4.0,46.7,34.2,0.5
10:30-11:00,quality>=2,all,83,59.0,0.3,26.5,44.6,-3.0,1.2,48.2,-1.4,50.6,30.1,19.4
11:00-12:00,quality>=2,all,84,65.5,0.22,11.9,54.8,5.5,1.2,54.8,2.0,38.1,38.1,20.8
12:00-14:00,quality>=2,all,41,56.1,0.23,29.3,43.9,-21.2,4.9,43.9,-12.8,61.0,22.0,-33.9
14:00-16:00,quality>=2,all,32,65.6,0.19,0.0,35.7,2.7,0.0,35.7,1.3,34.4,21.9,-6.5
09:35-10:00,quality>=3,all,81,82.7,1.31,43.2,46.9,18.1,19.8,51.9,5.2,56.8,37.0,42.1
10:00-10:30,quality>=3,all,8,87.5,1.07,75.0,25.0,-60.7,12.5,37.5,-18.7,100.0,0.0,-100.0
11:00-12:00,quality>=3,all,2,50.0,0.84,50.0,50.0,-32.3,50.0,50.0,-41.2,100.0,0.0,-100.0
12:00-14:00,quality>=3,all,4,50.0,0.85,100.0,0.0,-100.0,50.0,0.0,-66.7,100.0,0.0,-100.0
14:00-16:00,quality>=3,all,9,77.8,0.24,0.0,40.0,-5.0,0.0,40.0,-2.5,33.3,0.0,-35.9
09:35-10:00,all,long,1060,67.0,0.46,27.0,46.0,1.4,5.8,49.5,0.4,45.7,33.1,8.8
10:00-10:30,all,long,506,69.6,0.29,18.0,52.6,10.6,2.2,55.9,7.1,38.1,40.3,36.5
10:30-11:00,all,long,217,65.0,0.24,21.2,49.3,1.0,2.8,52.1,1.3,45.2,33.2,22.7
11:00-12:00,all,long,203,58.1,0.18,14.3,45.3,-4.8,0.5,46.3,-2.6,42.9,32.0,5.3
12:00-14:00,all,long,92,68.5,0.18,14.1,58.7,2.3,1.1,58.7,1.0,44.6,39.1,34.7
14:00-16:00,all,long,61,60.7,0.16,0.0,43.1,0.7,0.0,43.1,0.4,39.3,26.2,6.6
09:35-10:00,all,short,989,60.9,0.46,29.4,42.3,-0.2,4.6,44.6,-1.4,37.4,36.5,-4.2
10:00-10:30,all,short,495,60.2,0.34,24.0,42.2,-0.2,4.2,45.3,0.2,35.4,33.9,-14.3
10:30-11:00,all,short,168,58.9,0.26,17.9,46.4,5.2,5.4,48.8,1.2,33.3,38.1,7.2
11:00-12:00,all,short,168,57.1,0.21,13.7,47.0,6.8,1.8,48.8,3.6,26.8,39.9,-0.2
12:00-14:00,all,short,101,54.5,0.17,16.8,42.6,-13.2,3.0,43.6,-9.6,31.7,33.7,-26.9
14:00-16:00,all,short,51,74.5,0.13,4.1,61.2,6.6,2.0,61.2,2.2,21.6,47.1,-7.2
