threshold,label,trades,longs,shorts,ko_pct,wr_pct,roi_pct,pnl,long_wr,long_roi,short_wr,short_roi
-999.0,No grad check (old),909,584,325,27.062706270627064,46.53465346534654,-26.756961401221325,-121610.38956855092,48.11643835616438,-24.023398161541138,43.69230769230769,-31.668964268831257
0.0,combinedGrad > 0.0,776,571,205,26.417525773195877,47.29381443298969,-26.110976120574307,-101310.58734782832,48.51138353765324,-24.046575261133206,43.90243902439025,-31.861087782724884
0.05,combinedGrad > 0.05,757,569,188,26.420079260237785,47.15984147952444,-26.113596131560573,-98839.96135795677,48.50615114235501,-24.1300363712424,43.08510638297872,-32.117029661459696
0.1,combinedGrad > 0.1,736,567,169,26.6304347826087,46.73913043478261,-26.325734831951557,-96878.70418158174,48.67724867724868,-24.037213469493192,40.23668639053255,-34.00379171073199
0.15,combinedGrad > 0.15,718,563,155,26.880222841225628,46.239554317548745,-26.58309375010553,-95433.30656287885,48.49023090586146,-24.03571844089782,38.064516129032256,-35.8358182603245
0.2,combinedGrad > 0.2,702,556,146,27.350427350427353,46.15384615384615,-27.05307902278291,-94956.30736996801,48.381294964028775,-24.165791796420187,37.67123287671233,-38.04850161084917
0.25,combinedGrad > 0.25,688,549,139,27.325581395348834,46.366279069767444,-27.020219797289148,-92949.55610267466,48.451730418943534,-24.29066585072166,38.1294964028777,-37.800976032293086
0.3,combinedGrad > 0.3,670,537,133,27.313432835820894,46.71641791044776,-27.00500617889306,-90466.77069929175,48.60335195530726,-24.09339127453116,39.097744360902254,-38.76092500327155
0.4,combinedGrad > 0.4,634,522,112,27.602523659305994,46.68769716088328,-27.28361037337983,-86489.04488361406,48.85057471264368,-24.018234414391372,36.607142857142854,-42.5025947536653
0.5,combinedGrad > 0.5,589,502,87,28.01358234295416,47.53820033955857,-27.682226108700537,-81524.15589012307,49.20318725099602,-23.988048591758503,37.93103448275862,-48.998054999561475
