signal_tf,strategy,buffer,n_trades,ko_rate,win_rate,avg_pnl,total_pnl,roi
5min,Baseline,0.5,4107,53.153153153153156,36.54735816897979,14.04123175786889,57667.338829567525,2.8082463515737777
5min,Inside Monday,0.5,2209,52.28610230873698,37.347215934812134,15.587076599481941,34431.85220825561,3.1174153198963883
5min,Trend-aligned,0.5,2062,51.84287099903007,38.02133850630456,29.820983372978066,61490.86771508077,5.9641966745956125
5min,Inside Mon + Trend,0.5,1136,52.2887323943662,37.5,13.638892940201478,15493.782380068878,2.7277785880402954
5min,Vol Spike (≥2x),0.5,254,64.1732283464567,28.74015748031496,-36.693464716603586,-9320.14003801731,-7.338692943320717
5min,Vol Spike + Trend,0.5,144,65.97222222222221,24.305555555555554,-181.11318983871496,-26080.299336774955,-36.22263796774299
5min,Inside Mon + Vol,0.5,137,62.04379562043796,29.1970802919708,17.647998993940103,2417.775862169794,3.5295997987880203
5min,Baseline,1.0,4107,22.93644996347699,45.99464329194059,8.715837686478537,35795.94537836735,1.7431675372957076
5min,Inside Monday,1.0,2209,22.22725215029425,47.261204164780445,11.094273703914588,24507.250611947326,2.2188547407829176
5min,Trend-aligned,1.0,2062,21.72647914645975,49.078564500484966,24.80904572753355,51156.25229017418,4.96180914550671
5min,Inside Mon + Trend,1.0,1136,20.950704225352112,49.735915492957744,27.34324435971241,31061.9255926333,5.468648871942483
5min,Vol Spike (≥2x),1.0,254,36.61417322834646,42.91338582677165,-9.451553710952886,-2400.6946425820333,-1.8903107421905774
5min,Vol Spike + Trend,1.0,144,37.5,40.27777777777778,-77.97986439725182,-11229.100473204262,-15.595972879450365
5min,Inside Mon + Vol,1.0,137,35.76642335766424,43.06569343065693,5.380081187206048,737.0711226472285,1.0760162374412094
5min,Baseline,2.0,4107,3.9444850255661064,48.599951302654006,2.986655751427392,12266.1951711123,0.5973311502854785
5min,Inside Monday,2.0,2209,3.4404708012675416,49.705749207786326,5.918738248318964,13074.492790536591,1.1837476496637929
5min,Trend-aligned,2.0,2062,3.5887487875848687,51.84287099903007,13.03817147153403,26884.709574303168,2.6076342943068056
5min,Inside Mon + Trend,2.0,1136,2.992957746478873,52.20070422535211,15.263790244483312,17339.66571773304,3.052758048896662
5min,Vol Spike (≥2x),2.0,254,8.661417322834646,49.21259842519685,7.531674658455054,1913.0453632475837,1.5063349316910108
5min,Vol Spike + Trend,2.0,144,8.333333333333332,47.91666666666667,-17.969605561767974,-2587.623200894588,-3.5939211123535943
5min,Inside Mon + Vol,2.0,137,6.569343065693431,49.63503649635037,23.519105321304664,3222.117429018739,4.703821064260933
1min,Baseline,0.5,349,63.03724928366762,30.945558739255013,-63.09065287161231,-22018.637852192696,-12.61813057432246
1min,Inside Monday,0.5,207,64.73429951690821,29.951690821256037,-84.15442746031593,-17419.966484285396,-16.830885492063185
1min,Trend-aligned,0.5,152,61.8421052631579,32.89473684210527,-4.14521279327782,-630.0723445782287,-0.8290425586555641
1min,Inside Mon + Trend,0.5,94,63.829787234042556,30.851063829787233,-42.214867837453504,-3968.1975767206295,-8.442973567490702
1min,Vol Spike (≥2x),0.5,16,62.5,25.0,-86.28419811662152,-1380.5471698659444,-17.256839623324304
1min,Vol Spike + Trend,0.5,7,57.14285714285714,28.57142857142857,-37.13086363569602,-259.9160454498722,-7.426172727139205
1min,Inside Mon + Vol,0.5,9,66.66666666666666,22.22222222222222,-156.56539982641686,-1409.088598437752,-31.313079965283375
1min,Baseline,1.0,349,30.659025787965614,42.693409742120345,-35.713494152678,-12464.009459284622,-7.1426988305356005
1min,Inside Monday,1.0,207,30.917874396135264,42.028985507246375,-60.02105357286701,-12424.358089583471,-12.004210714573402
1min,Trend-aligned,1.0,152,27.631578947368425,48.68421052631579,35.30405284571072,5366.21603254803,7.060810569142145
1min,Inside Mon + Trend,1.0,94,30.851063829787233,44.680851063829785,-32.30416329104216,-3036.591349357963,-6.460832658208432
1min,Vol Spike (≥2x),1.0,16,31.25,31.25,-93.80103358987131,-1500.816537437941,-18.760206717974263
1min,Vol Spike + Trend,1.0,7,42.857142857142854,28.57142857142857,-158.28256074938523,-1107.9779252456965,-31.65651214987704
1min,Inside Mon + Vol,1.0,9,22.22222222222222,33.33333333333333,-84.81637640426385,-763.3473876383746,-16.96327528085277
1min,Baseline,2.0,349,4.297994269340974,46.99140401146132,-21.02211661195064,-7336.718697570773,-4.204423322390128
1min,Inside Monday,2.0,207,3.864734299516908,45.410628019323674,-37.31945918934078,-7725.128052193541,-7.463891837868156
1min,Trend-aligned,2.0,152,2.631578947368421,53.289473684210535,19.705709649136573,2995.267866668759,3.9411419298273147
1min,Inside Mon + Trend,2.0,94,3.1914893617021276,46.808510638297875,-30.883946802210353,-2903.0909994077733,-6.176789360442071
1min,Vol Spike (≥2x),2.0,16,0.0,37.5,-16.495324469178918,-263.9251915068627,-3.299064893835783
1min,Vol Spike + Trend,2.0,7,0.0,42.857142857142854,-5.2926865413887265,-37.04880578972109,-1.0585373082777454
1min,Inside Mon + Vol,2.0,9,0.0,33.33333333333333,-36.346944219444005,-327.12249797499607,-7.269388843888802
